zip,price
89403,2.15
89408,2.10
89423,2.20
89428,2.15
89429,2.20
89431,2.10
89433,2.10
89434,2.10
89436,2.10
89439,2.15
89440,2.15
89441,2.10
89448,2.20
89449,2.20
89451,2.20
89460,2.20
89502,2.10
89503,2.10
89506,2.10
89508,2.15
89509,2.15
89511,2.10
89512,2.10
89519,2.10
89521,2.10
89523,2.10
89701,2.10
89703,2.10
89704,2.15
89705,2.20
89706,2.15
93901,2.10
93905,2.10
93906,2.26
93907,2.10
93908,2.10
93921,2.10
93926,2.10
93927,2.10
93930,2.10
93933,2.10
93940,2.10
93950,2.10
93953,2.10
93955,2.10
93960,2.10
94002,1.90
94005,1.85
94010,1.85
94014,1.85
94015,1.85
94018,2.10
94019,2.10
94022,1.85
94024,1.90
94025,1.85
94027,1.85
94028,1.85
94030,1.85
94037,2.10
94038,2.10
94040,1.90
94041,1.90
94043,1.90
94044,1.85
94061,1.90
94062,1.90
94063,1.90
94065,1.90
94066,1.85
94070,1.90
94080,1.85
94085,2.00
94086,1.90
94087,1.90
94089,2.00
94107,2.10
94110,2.10
94112,1.85
94114,2.10
94115,2.05
94116,1.85
94117,2.05
94118,2.05
94121,2.05
94122,1.85
94123,2.05
94124,2.10
94127,1.85
94128,1.85
94129,2.05
94130,2.10
94131,1.85
94132,1.85
94134,2.10
94158,2.10
94301,1.85
94303,1.85
94304,1.85
94305,1.85
94306,1.85
94401,1.85
94402,1.85
94403,1.85
94404,1.90
94501,1.95
94502,1.90
94503,2.00
94505,1.95
94506,1.85
94507,2.00
94509,1.95
94510,2.00
94513,1.95
94516,1.95
94517,1.95
94518,1.95
94519,1.95
94520,1.95
94521,1.95
94523,1.95
94525,1.90
94526,1.85
94528,1.85
94530,1.90
94531,1.95
94533,2.10
94534,2.10
94536,1.90
94537,1.90
94538,1.90
94539,1.80
94541,1.80
94542,1.80
94544,1.80
94545,1.80
94546,1.85
94547,1.90
94549,2.00
94550,2.00
94551,1.85
94552,1.85
94553,1.95
94555,1.80
94556,2.00
94558,2.15
94559,2.15
94560,1.90
94561,1.95
94563,2.00
94564,1.90
94565,1.95
94566,1.85
94568,1.85
94569,1.95
94572,1.90
94577,1.80
94578,1.80
94579,1.80
94580,1.80
94582,1.85
94583,1.85
94586,1.85
94587,1.80
94588,1.85
94589,2.00
94590,2.00
94591,2.00
94592,2.00
94595,2.00
